tweet_id,username,text,created_at,retweets,likes,replies,hashtags,sentiment,category
1001,tech_enthusiast,"Just tried the new AI assistant and it's amazing! Revolutionary technology at work #AI #tech",2024-03-15T10:30:00Z,45,234,12,"#AI #tech",positive,technology
1002,sports_fan,"Can't believe my team lost again. This season is a disaster #disappointed #sports",2024-03-15T11:15:00Z,8,67,23,"#disappointed #sports",negative,sports
1003,foodie_lover,"Perfect morning with fresh coffee and croissants at my favorite cafe ☕",2024-03-15T08:45:00Z,12,156,5,,positive,lifestyle
1004,news_reader,"Breaking: New climate policy announced by government officials today",2024-03-15T14:20:00Z,89,445,67,,neutral,politics
1005,movie_buff,"Just watched the latest blockbuster. Average plot but great special effects #movies",2024-03-15T21:30:00Z,23,187,34,"#movies",neutral,entertainment
1006,travel_explorer,"Missing those sunset views from my vacation in Bali. Can't wait to go back! #travel #bali",2024-03-15T16:45:00Z,34,289,18,"#travel #bali",positive,travel
1007,student_life,"Finals week is killing me. Too much stress and not enough sleep #studentlife #stress",2024-03-15T02:15:00Z,156,892,78,"#studentlife #stress",negative,education
1008,fitness_guru,"Completed my first marathon today! 26.2 miles of pure determination #marathon #fitness",2024-03-15T17:30:00Z,67,534,89,"#marathon #fitness",positive,sports
1009,music_lover,"The concert last night was absolutely incredible. Best performance I've ever seen #music",2024-03-15T09:20:00Z,45,312,45,"#music",positive,entertainment
1010,business_news,"Stock markets showing mixed signals today. Investors remain cautious #stocks #finance",2024-03-15T13:45:00Z,78,234,56,"#stocks #finance",neutral,business
1011,weather_watcher,"Another rainy day in the city. When will spring finally arrive? #rain #weather",2024-03-15T07:30:00Z,12,89,23,"#rain #weather",negative,weather
1012,pet_owner,"My dog learned a new trick today! So proud of my furry friend #dogs #pets",2024-03-15T15:20:00Z,23,178,12,"#dogs #pets",positive,lifestyle
1013,game_streamer,"Streaming live on Twitch tonight. Come watch me fail at this new game #gaming #twitch",2024-03-15T19:45:00Z,34,267,45,"#gaming #twitch",neutral,entertainment
1014,health_advocate,"Regular exercise and healthy eating are key to a long life #health #wellness",2024-03-15T12:30:00Z,56,389,34,"#health #wellness",positive,health
1015,art_collector,"Visited the new art exhibition today. Some pieces were thought-provoking #art #culture",2024-03-15T16:15:00Z,18,145,28,"#art #culture",positive,culture
1016,social_critic,"Social media is destroying real human connections. We need to disconnect more often",2024-03-15T20:30:00Z,234,567,123,,negative,technology
