date,description,deposit,withdrawal,category,balance
2025-08-01,ACH CREDIT PAYROLL ADP 847291,10000.00,,Income,160000.00
2025-08-01,MORTGAGE PYMNT WF 0001234 REF #45789,,4200.00,Housing,155800.00
2025-08-01,TESLA MOTORS 650-681-5100 CA,,649.99,Transportation,155150.01
2025-08-01,AMAZON.COM*XY8923 AMZN.COM/BILL,,1249.99,Shopping,153900.02
2025-08-01,ANTHROPIC CLAUDE-OPUS-4-1-API,,3456.78,AI Services,150443.24
2025-08-02,WHFOODS #0245 SAN FRANCISCOCA,,187.45,Food,150255.79
2025-08-02,SHELL OIL 57849600001 SAN JOSE CA,,72.30,Transportation,150183.49
2025-08-02,AWS SERVICES 866-216-1072 WA,,3847.50,Technology,146335.99
2025-08-02,OPENAI API USAGE GPT-4-TURBO,,1234.56,AI Services,145101.43
2025-08-03,NETFLIX.COM 866-579-7172 CA,,15.99,Entertainment,145085.44
2025-08-03,SPOTIFY USA 646-517-4579 NY,,9.99,Entertainment,145075.45
2025-08-03,AMAZON.COM*RT4567 AMZN.COM/BILL,,789.99,Electronics,144285.46
2025-08-03,GOOGLE COMPUTE ENGINE VM-8472,,892.45,Cloud Computing,143393.01
2025-08-04,TARGET T-1847 REDWOOD CITY CA,,234.67,Shopping,143158.34
2025-08-04,AMAZON PRIME NOW*TMP4 AMZN.COM,,156.78,Groceries,143001.56
2025-08-04,GOOGLE NANO-BANANA API MODEL,,456.78,AI Services,142544.78
2025-08-05,PG&E ONLINE PMT 8001234567,,285.40,Utilities,142259.38
2025-08-05,WATER DEPT CITY OF PALO ALTO,,89.75,Utilities,142169.63
2025-08-05,AMAZON.COM*BK8901 AMZN.COM/BILL,,2345.67,Home,139823.96
2025-08-05,ANTHROPIC CLAUDE-OPUS-4-1-API,,2890.34,AI Services,136933.62
2025-08-06,SQ *STARBUCKS STORE SAN FRANC,,12.45,Dining,136921.17
2025-08-06,TRADERJOES #542 QPS MENLOPARK,,156.80,Groceries,136764.37
2025-08-06,AWS CLOUDFRONT 866-216-1072 WA,,892.30,Technology,135872.07
2025-08-06,OPENAI API DALL-E-3 IMAGE GEN,,567.89,AI Services,135304.18
2025-08-07,XFINITY MOBILE 8005934500 PA,,119.99,Utilities,135184.19
2025-08-07,AMAZON.COM*HG5678 AMZN.COM/BILL,,567.89,Books,134616.30
2025-08-07,GOOGLE CLOUD STORAGE BUCKET-847,,234.56,Cloud Computing,134381.74
2025-08-08,EQUINOX 877-935-9555 NY,,189.00,Recreation,134192.74
2025-08-08,AMAZON.COM*MK4567 AMZN.COM/BILL,,89.99,Shopping,134102.75
2025-08-08,AWS EC2 INSTANCES 866-216-1072,,1567.45,Technology,132535.30
2025-08-08,ANTHROPIC CLAUDE-OPUS-4-1-API,,4567.89,AI Services,127967.41
2025-08-09,SQ *THE FRENCH LAUNDRY YOUNTV,,342.75,Food,127624.66
2025-08-09,AMAZON FRESH*W9012 AMZN.COM/BI,,234.56,Groceries,127390.10
2025-08-09,GOOGLE NANO-BANANA BATCH PROC,,789.12,AI Services,126600.98
2025-08-10,CHEVRON #9847 SAN MATEO CA,,68.90,Transportation,126532.08
2025-08-10,CVS/PHARMACY #03847 PALO ALTO,,45.67,Health,126486.41
2025-08-10,AMAZON.COM*OP3456 AMZN.COM/BILL,,3456.78,Electronics,123029.63
2025-08-10,OPENAI API FINE-TUNING JOB-847,,2345.67,AI Services,120683.96
2025-08-11,FARMERS INS 8009346700 REF1234,,2150.00,Insurance,118533.96
2025-08-11,AMAZON SUBSCRIBE SAVE AMZN.COM,,456.90,Household,118077.06
2025-08-11,GOOGLE COMPUTE ENGINE GPU-T4,,1567.89,Cloud Computing,116509.17
2025-08-12,COSTCO WHSE #0456 REDWOOD CITY,,298.44,Groceries,116210.73
2025-08-12,UBER * TRIP JUL27 HELP.UBER.COM,,23.50,Transportation,116187.23
2025-08-12,AWS S3 STORAGE 866-216-1072 WA,,678.90,Technology,115508.33
2025-08-12,ANTHROPIC CLAUDE-OPUS-4-1-API,,3789.45,AI Services,111718.88
2025-08-13,APL* APPLE ONLINE STORE 800-692-7753,,89.99,Technology,111628.89
2025-08-13,AMAZON.COM*QW7890 AMZN.COM/BILL,,1234.56,Office,110394.33
2025-08-13,GOOGLE NANO-BANANA API PREMIUM,,567.89,AI Services,109826.44
2025-08-14,PRESIDIO DRY CLNRS SAN FRANCISC,,38.50,Laundry,109787.94
2025-08-14,BLUE BOTTLE COFFEE #45 SF CA,,8.75,Coffee,109779.19
2025-08-14,AMAZON PRIME VIDEO RENT/BUY,,19.99,Entertainment,109759.20
2025-08-14,OPENAI API WHISPER TRANSCRIBE,,345.67,AI Services,109413.53
2025-08-15,ACH CREDIT PAYROLL ADP 847291,10000.00,,Income,119413.53
2025-08-15,GEICO AUTO INS 8009876543,,1245.60,Insurance,118167.93
2025-08-15,AWS LAMBDA FUNCTIONS 866-216-1072,,234.78,Technology,117933.15
2025-08-15,ANTHROPIC CLAUDE-OPUS-4-1-API,,5678.90,AI Services,112254.25
2025-08-16,SAFEWAY STORE 1847 MENLO PARK CA,,145.30,Groceries,112108.95
2025-08-16,SF PARKING METER 45F7G,,4.50,Parking,112104.45
2025-08-16,AMAZON.COM*YU8901 AMZN.COM/BILL,,4567.89,Furniture,107536.56
2025-08-16,GOOGLE CLOUD RUN SERVICES-8472,,456.78,Cloud Computing,107079.78
2025-08-17,AMC METREON 16 SAN FRANCISCO CA,,32.50,Entertainment,107047.28
2025-08-17,PAZZO RISTORANTE PALO ALTO CA,,78.90,Dining,106968.38
2025-08-17,AWS RDS DATABASE 866-216-1072 WA,,1890.45,Technology,105077.93
2025-08-17,GOOGLE NANO-BANANA HIGH-RES,,890.12,AI Services,104187.81
2025-08-18,AMAZON.COM*BK7890 AMZN.COM/BILL,,67.85,Books,104119.96
2025-08-18,AMAZON FRESH*TMP9 AMZN.COM/BI,,189.34,Groceries,103930.62
2025-08-18,OPENAI API GPT-4-VISION,,1456.78,AI Services,102473.84
2025-08-19,VERIZON WRLS*VTIQ 8009220204 NY,,145.99,Phone,102327.85
2025-08-19,HOME DEPOT #4571 REDWOOD CITY,,189.75,Home Improvement,102138.10
2025-08-19,AMAZON.COM*GH2345 AMZN.COM/BILL,,789.01,Gaming,101349.09
2025-08-19,ANTHROPIC CLAUDE-OPUS-4-1-API,,2345.67,AI Services,99003.42
2025-08-20,DR JENNIFER SMITH DDS PALO ALT,,250.00,Medical,98753.42
2025-08-20,PANERA BREAD #203847 PALO ALTO,,14.85,Food,98738.57
2025-08-20,AWS CLOUDWATCH 866-216-1072 WA,,456.78,Technology,98281.79
2025-08-20,GOOGLE COMPUTE ENGINE NETWORK,,234.56,Cloud Computing,98047.23
2025-08-21,SHELL OIL 57849600089 MOUNTAIN V,,74.20,Transportation,97973.03
2025-08-21,BEST BUY 00004571 MOUNTAIN VIEW,,345.99,Electronics,97627.04
2025-08-21,AMAZON.COM*ZX4567 AMZN.COM/BILL,,2345.67,Appliances,95281.37
2025-08-21,GOOGLE NANO-BANANA BULK PROC,,1234.56,AI Services,94046.81
2025-08-22,BLUE CROSS BLUE SHIELD 8457291,,890.50,Insurance,93156.31
2025-08-22,KROGER #0847 ATLANTA GA,,167.40,Food,92988.91
2025-08-22,AWS MONTHLY BILLING 866-216-1072,,5678.90,Technology,87310.01
2025-08-22,ANTHROPIC CLAUDE-OPUS-4-1-API,,4567.89,AI Services,82742.12
2025-08-23,HULU 2132057171 CA,,14.99,Entertainment,82727.13
2025-08-23,SQ *PHILZ COFFEE SF MISSION,,6.25,Coffee,82720.88
2025-08-23,AMAZON.COM*UI8901 AMZN.COM/BILL,,678.90,Clothing,82042.98
2025-08-23,OPENAI API EMBEDDINGS ADA-002,,567.89,AI Services,81474.09
2025-08-24,SANTA CLARA CNTY TAX COLL,,3456.78,Government,78017.31
2025-08-24,AMAZON PRIME NOW*TMP7 AMZN.COM,,234.56,Groceries,77782.75
